%CPU     %MEM    
98.0  0.1
PSR %CPU
  2  1.0
  2  0.0
  0  0.0
  2 92.0
  3  1.0
  0  1.0
  1  1.0
%CPU     %MEM    
 108  0.1
PSR %CPU
  2  0.3
  2  0.0
  0  0.0
  2 70.0
  3  0.3
  0  0.3
  1  0.3
%CPU     %MEM    
82.5  0.1
PSR %CPU
  2  0.2
  2  0.0
  0  0.0
  2 77.7
  3  0.2
  0  0.2
  1  0.2
  3  0.0
  0  0.0
  0  0.0
%CPU     %MEM    
89.8  0.1
PSR %CPU
  0  7.4
  0  0.0
  0  0.0
  2 62.2
  3  0.2
  0  0.2
  1  0.2
  2 25.0
  3 36.0
  0 32.0
%CPU     %MEM    
93.1  0.1
PSR %CPU
  0  7.5
  0  0.0
  0  0.0
  2 51.8
  3  0.3
  2  0.3
  1  2.3
  1  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
96.2  0.1
PSR %CPU
  0  8.0
  0  0.0
  0  0.0
  3 55.8
  3  0.2
  2  0.2
  1  2.1
%CPU     %MEM    
98.5  0.1
PSR %CPU
  0  7.7
  0  0.0
  0  0.0
  3 52.7
  3  0.2
  2  0.2
  1  1.8
  2  0.0
  3  0.0
  1  0.0
%CPU     %MEM    
90.8  0.1
PSR %CPU
  0  6.2
  0  0.0
  0  0.0
  3 42.2
  3  0.2
  2  0.2
  1  1.5
  2 14.0
  3 41.0
  1 41.0
%CPU     %MEM    
92.2  0.1
PSR %CPU
  1  6.1
  0  0.0
  2  0.0
  3 38.3
  3  0.2
  2  0.2
  1  1.4
  0  0.0
  0  0.0
  2 28.0
%CPU     %MEM    
93.9  0.1
PSR %CPU
  1  5.9
  0  0.0
  2  0.0
  3 35.2
  0  0.3
  2  0.3
  3  1.3
  3  0.0
  1 30.0
  2 38.0
%CPU     %MEM    
95.7  0.1
PSR %CPU
  1  5.4
  0  0.0
  2  0.0
  3 32.5
  0  0.3
  2  0.3
  3  1.3
%CPU     %MEM    
97.2  0.1
PSR %CPU
  0  5.0
  0  0.0
  2  0.0
  3 30.2
  3  0.2
  2  0.2
  3  1.2
  1  0.0
  0  0.0
  1  0.0
%CPU     %MEM    
98.4  0.1
PSR %CPU
  0  4.8
  1  0.0
  2  0.0
  0 34.4
  3  0.3
  2  0.4
  3  1.2
%CPU     %MEM    
93.7  0.1
PSR %CPU
  0  4.2
  1  0.0
  2  0.0
  0 37.2
  3  0.2
  2  0.3
  3  1.0
%CPU     %MEM    
95.0  0.1
PSR %CPU
  0  4.0
  1  0.0
  2  0.0
  0 41.7
  3  0.2
  2  0.3
  3  1.0
%CPU     %MEM    
96.3  0.1
PSR %CPU
  0  3.8
  1  0.0
  2  0.0
  0 45.7
  3  0.2
  2  0.3
  3  0.9
%CPU     %MEM    
97.3  0.1
PSR %CPU
  0  3.6
  1  0.0
  2  0.0
  0 49.3
  3  0.2
  2  0.3
  3  0.9
%CPU     %MEM    
98.3  0.1
PSR %CPU
  0  3.4
  1  0.0
  2  0.0
  0 52.6
  3  0.2
  2  0.2
  3  0.8
%CPU     %MEM    
99.2  0.1
PSR %CPU
  0  3.3
  1  0.0
  2  0.0
  0 55.5
  3  0.2
  2  0.2
  3  0.8
%CPU     %MEM    
95.7  0.1
PSR %CPU
  0  3.0
  1  0.0
  2  0.0
  0 55.2
  3  0.2
  2  0.2
  3  0.7
  3  0.0
  3  0.0
  2  0.0
%CPU     %MEM    
96.7  0.1
PSR %CPU
  0  3.0
  1  0.0
  2  0.0
  0 53.0
  3  0.2
  2  0.2
  3  0.7
  0  2.0
  3 46.0
  2 77.0
%CPU     %MEM    
97.5  0.1
PSR %CPU
  0  2.8
  1  0.0
  2  0.0
  0 51.0
  3  0.1
  2  0.2
  3  0.6
  0  1.0
  3 43.5
  2 78.0
%CPU     %MEM    
98.1  0.1
PSR %CPU
  0  2.8
  1  0.0
  2  0.0
  0 49.1
  3  0.1
  2  0.2
  0  0.6
  1  0.0
  2  0.0
  1  0.0
%CPU     %MEM    
98.7  0.1
PSR %CPU
  2  2.7
  1  0.0
  2  0.0
  0 47.7
  3  0.2
  1  0.2
  2  0.6
%CPU     %MEM    
96.0  0.1
PSR %CPU
  2  2.6
  1  0.0
  2  0.0
  0 48.5
  3  0.2
  1  0.2
  2  0.6
%CPU     %MEM    
96.7  0.1
PSR %CPU
  2  2.5
  1  0.0
  2  0.0
  0 50.7
  3  0.2
  1  0.2
  2  0.6
%CPU     %MEM    
97.3  0.1
PSR %CPU
  2  2.4
  1  0.0
  2  0.0
  0 52.7
  3  0.2
  1  0.2
  2  0.5
%CPU     %MEM    
98.0  0.1
PSR %CPU
  2  2.3
  1  0.0
  2  0.0
  0 54.7
  3  0.2
  1  0.2
  2  0.5
%CPU     %MEM    
98.5  0.1
PSR %CPU
  2  2.2
  1  0.0
  2  0.0
  0 56.5
  3  0.2
  1  0.2
  2  0.5
%CPU     %MEM    
99.1  0.1
PSR %CPU
  2  2.2
  1  0.0
  2  0.0
  0 58.3
  3  0.2
  1  0.2
  2  0.5
%CPU     %MEM    
96.9  0.1
PSR %CPU
  2  2.1
  1  0.0
  2  0.0
  0 58.3
  3  0.1
  1  0.2
  2  0.5
%CPU     %MEM    
97.5  0.1
PSR %CPU
  2  2.0
  1  0.0
  2  0.0
  0 59.9
  3  0.1
  1  0.2
  2  0.5
%CPU     %MEM    
98.0  0.1
PSR %CPU
  2  2.0
  1  0.0
  2  0.0
  0 61.4
  3  0.1
  1  0.2
  2  0.4
%CPU     %MEM    
98.5  0.1
PSR %CPU
  2  1.9
  1  0.0
  2  0.0
  0 62.8
  3  0.1
  1  0.2
  2  0.4
%CPU     %MEM    
98.9  0.1
PSR %CPU
  2  2.0
  1  0.0
  2  0.0
  0 62.2
  3  0.1
  1  0.1
  2  0.4
  3  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
99.4  0.1
PSR %CPU
  2  2.0
  1  0.0
  2  0.0
  0 60.7
  3  0.1
  1  0.1
  2  0.4
  3  0.0
  1  5.0
  2  176
%CPU     %MEM    
97.5  0.2
PSR %CPU
  1  2.0
  1  0.0
  1  0.0
  0 58.0
  1  0.1
  1  0.2
  2  0.4
%CPU     %MEM    
97.8  0.2
PSR %CPU
  1  2.2
  1  0.0
  1  0.0
  0 56.7
  1  0.1
  2  0.2
  2  0.4
  2  0.0
  3  0.0
  0 30.0
%CPU     %MEM    
98.1  0.2
PSR %CPU
  0  2.1
  1  0.0
  1  0.0
  0 55.5
  2  0.1
  2  0.2
  1  0.4
  2  0.0
  0  0.0
  0  0.0
%CPU     %MEM    
98.5  0.2
PSR %CPU
  2  2.1
  1  0.0
  1  0.0
  0 55.0
  2  0.2
  3  0.2
  1  0.5
  3  0.0
  3  0.0
  3  0.0
%CPU     %MEM    
98.7  0.2
PSR %CPU
  2  2.1
  1  0.0
  1  0.0
  0 54.0
  0  0.2
  3  0.2
  1  0.5
%CPU     %MEM    
97.1  0.2
PSR %CPU
  2  2.0
  1  0.0
  1  0.0
  0 54.1
  0  0.2
  3  0.2
  1  0.5
%CPU     %MEM    
97.3  0.2
PSR %CPU
  2  2.0
  1  0.0
  1  0.0
  0 53.1
  0  0.2
  1  0.2
  3  0.5
  3  0.0
  0  0.0
  3  0.0
%CPU     %MEM    
97.7  0.2
PSR %CPU
  2  2.0
  1  0.0
  1  0.0
  0 53.5
  0  0.2
  1  0.2
  3  0.5
%CPU     %MEM    
98.0  0.2
PSR %CPU
  2  1.9
  1  0.0
  1  0.0
  0 53.7
  0  0.2
  1  0.2
  3  0.4
  3  0.0
  1  0.0
