%CPU     %MEM    
13.0  0.0
PSR %CPU
  3  2.0
  1  0.0
  2  0.0
  0  0.0
  2  1.0
  1  1.0
  4  1.0
%CPU     %MEM    
67.0  0.2
PSR %CPU
  3  2.5
  2  0.0
  2  0.0
  1 55.5
  2  1.0
  5  1.0
  0  1.0
  6  0.0
  7  0.0
  4  0.0
  7  0.0
%CPU     %MEM    
83.6  0.4
PSR %CPU
  3  1.6
  2  0.0
  2  0.0
  1 75.6
  2  0.6
  5  0.6
  0  0.6
  6  0.0
  7  0.0
  4  0.0
  7  0.0
%CPU     %MEM    
92.0  0.6
PSR %CPU
  3  1.2
  3  0.0
  2  0.0
  1 86.5
  2  0.5
  5  0.5
  0  0.5
  6  0.0
  7  0.0
  4  0.0
  7  0.0
%CPU     %MEM    
97.2  0.7
PSR %CPU
  3  1.0
  3  0.0
  2  0.0
  1 92.6
  2  0.4
  5  0.4
  0  0.4
  6  0.0
  7  0.0
  4  0.0
  7  0.0
%CPU     %MEM    
 100  0.7
PSR %CPU
  3  0.8
  3  0.0
  3  0.0
  1 96.6
  2  0.3
  5  0.3
  0  0.3
  6  0.0
  7  0.0
  4  0.0
  7  0.0
%CPU     %MEM    
90.1  0.7
PSR %CPU
  3  0.6
  3  0.0
  3  0.0
  1 87.2
  2  0.2
  5  0.2
  0  0.2
  6  0.0
  7  0.0
  4  0.0
  7  0.0
%CPU     %MEM    
93.1  0.7
PSR %CPU
  3  0.5
  3  0.0
  3  0.0
  1 90.5
  2  0.2
  5  0.2
  0  0.2
  6  0.0
  7  0.0
  4  0.0
  7  0.0
%CPU     %MEM    
95.6  0.7
PSR %CPU
  3  0.5
  3  0.0
  3  0.0
  1 93.3
  2  0.2
  5  0.2
  0  0.2
  6  0.0
  7  0.0
  4  0.0
  7  0.0
%CPU     %MEM    
97.5  0.7
PSR %CPU
  3  0.4
  3  0.0
  3  0.0
  1 95.4
  2  0.1
  5  0.1
  0  0.1
  6  0.0
  7  0.0
  4  0.0
  7  0.0
%CPU     %MEM    
99.2  0.7
PSR %CPU
  3  0.4
  3  0.0
  3  0.0
  1 97.3
  2  0.1
  5  0.1
  0  0.1
  6  0.0
  7  0.0
  4  0.0
  7  0.0
%CPU     %MEM    
95.3  0.7
PSR %CPU
  6  0.6
  5  0.0
  5  0.0
  0 88.7
  7  0.3
  1  0.3
  0  0.3
%CPU     %MEM    
 100  0.7
PSR %CPU
  4  1.3
  1  0.0
  1  0.0
  5 83.0
  7  1.1
  2  1.1
  1  1.0
%CPU     %MEM    
 104  0.7
PSR %CPU
  4  2.2
  2  0.1
  4  0.1
  5 78.1
  1  1.9
  7  1.9
  6  1.9
  0  0.0
  5  0.0
  2  0.0
  3  0.0
  0  0.0
  4  0.0
  1  0.0
  4  0.0
  6  0.0
  3  0.0
  7  0.0
%CPU     %MEM    
 108  0.7
PSR %CPU
  5  3.1
  2  0.2
  1  0.1
  2 73.8
  4  2.7
  6  2.7
  7  2.6
  3  0.0
  2  0.0
  1  0.0
  6  0.0
  7  0.0
  4  0.0
  6  0.0
  7  0.0
  4  0.0
  6  0.0
  1  0.0
%CPU     %MEM    
 111  0.8
PSR %CPU
  0  4.0
  3  0.2
  6  0.1
  2 70.0
  5  3.3
  2  3.3
  6  3.3
  1  0.0
  6  0.0
  4  0.0
%CPU     %MEM    
 114  0.8
PSR %CPU
  1  4.6
  7  0.2
  2  0.2
  4 66.5
  7  3.7
  4  3.7
  2  3.7
  0  0.0
  6  0.0
  3  0.0
  5  0.0
  0  0.0
  7  0.0
  1  0.0
  2  0.0
  4  0.0
  0  0.0
  5  0.0
%CPU     %MEM    
 110  0.8
PSR %CPU
  7  5.0
  2  0.2
  5  0.2
  4 60.3
  1  4.0
  0  4.0
  2  4.0
  1  0.0
  3  0.0
  5  0.0
  4  0.0
  0  0.0
  2  0.0
  6  0.0
  1  0.0
  3  0.0
  6  0.0
  4  0.0
%CPU     %MEM    
 112  0.8
PSR %CPU
  1  5.8
  3  0.3
  5  0.2
  4 57.7
  7  4.4
  3  4.4
  3  4.4
  6  0.0
  2  0.0
  0  0.0
  5  0.0
%CPU     %MEM    
 117  0.8
PSR %CPU
  3  6.1
  1  0.3
  5  0.2
  4 55.3
  6  4.5
  1  4.5
  5  4.4
%CPU     %MEM    
 120  0.8
PSR %CPU
  4  6.6
  3  0.3
  6  0.2
  4 53.1
  6  4.7
  3  4.7
  1  4.7
  0  0.0
  0  0.0
  7  0.0
  5  0.0
%CPU     %MEM    
 123  0.8
PSR %CPU
  2  7.1
  0  0.3
  6  0.2
  5 51.1
  0  4.9
  3  4.9
  5  4.8
  6  0.0
  6  0.0
  4  0.0
  6  0.0
  7  0.0
  5  0.0
  2  0.0
  3  0.0
  4  0.0
  1  0.0
  7  0.0
%CPU     %MEM    
 124  0.8
PSR %CPU
  6  7.6
  7  0.3
  5  0.3
  7 49.2
  0  5.1
  2  5.1
  2  5.1
  4  0.0
  3  0.0
  1  0.0
  5  0.0
%CPU     %MEM    
 122  0.8
PSR %CPU
  2  7.9
  0  0.3
  4  0.2
  0 45.8
  0  5.1
  3  5.1
  1  5.1
  7  0.0
  5  0.0
  4  0.0
  6  0.0
  7  0.0
  3  0.0
  2  0.0
  7  0.0
  6  0.0
  7  0.0
  2  0.0
%CPU     %MEM    
 123  0.8
PSR %CPU
  5  8.3
  0  0.3
  6  0.2
  0 44.3
  2  5.3
  3  5.3
  6  5.3
%CPU     %MEM    
 124  0.8
PSR %CPU
  6  8.8
  3  0.3
  7  0.3
  0 43.0
  4  5.5
  5  5.5
  2  5.5
  7  0.0
  3  0.0
  1  0.0
  0  0.0
%CPU     %MEM    
 125  0.8
PSR %CPU
  0  9.5
  3  0.3
  1  0.3
  1 41.7
  2  5.7
  3  5.7
  7  5.7
  4  0.0
  6  0.0
  5  0.0
  1  0.0
%CPU     %MEM    
 126  0.8
PSR %CPU
  3 10.0
  6  0.3
  5  0.3
  2 40.5
  5  5.9
  2  5.8
  2  5.9
  6  0.0
  1  0.0
  7  0.0
  0  0.0
  7  0.0
  2  0.0
  0  0.0
  5  0.0
  2  0.0
  0  0.0
  5  0.0
%CPU     %MEM    
 122  0.8
PSR %CPU
  1 10.2
  2  0.3
  1  0.3
  5 38.2
  6  5.8
  7  5.8
  5  5.8
  1  0.0
  2  0.0
  3  0.0
  0  0.0
  4  0.0
  5  0.0
  6  0.0
  7  0.0
  0  0.0
  0  0.0
  7  7.0
%CPU     %MEM    
 123  0.8
PSR %CPU
  1 10.7
  0  0.3
  2  0.3
  5 37.2
  5  6.0
  0  6.0
  6  6.0
%CPU     %MEM    
 124  0.8
PSR %CPU
  1 11.2
  3  0.3
  6  0.3
  5 36.2
  2  6.1
  0  6.1
  7  6.1
  3  0.0
  6  0.0
  5  0.0
  3  0.0
  0  0.0
  2  0.0
  3  0.0
  5  0.0
  3  0.0
  7  0.0
  7  0.0
%CPU     %MEM    
 125  0.9
PSR %CPU
  1 11.8
  2  0.3
  5  0.3
  5 35.3
  5  6.3
  3  6.3
  0  6.2
%CPU     %MEM    
 126  0.9
PSR %CPU
  0 12.3
  1  0.3
  1  0.3
  6 34.5
  5  6.4
  3  6.5
  4  6.4
  7  0.0
  1  0.0
  2  0.0
  7  0.0
  4  0.0
  5  0.0
  7  0.0
  0  0.0
%CPU     %MEM    
 127  0.9
PSR %CPU
  7 12.9
  2  0.3
  4  0.3
  6 33.7
  1  6.5
  6  6.6
  5  6.5
  4  0.0
  2  0.0
  5  0.0
  3  0.0
  5  0.0
  3  0.0
  6  0.0
  0  0.0
  0  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 124  0.9
PSR %CPU
  0 13.0
  1  0.3
  6  0.3
