%CPU     %MEM    
 0.0  0.0
PSR %CPU
  2  0.0
  6  0.0
  5  0.0
  1  0.0
  7  0.0
  0  0.0
  3  0.0
  6  0.0
  5  0.0
  3  0.0
  2  0.0
%CPU     %MEM    
 136  0.2
PSR %CPU
  5  4.0
  6  0.0
  5  0.0
  2  113
  5  2.0
  7  2.0
  0  2.0
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 126  0.3
PSR %CPU
  5  2.0
  6  0.0
  5  0.0
  2  115
  5  1.0
  7  1.0
  0  1.0
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 123  0.3
PSR %CPU
  5  1.3
  6  0.0
  7  0.0
  2  115
  5  0.6
  7  0.6
  0  0.6
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 121  0.3
PSR %CPU
  5  1.0
  6  0.0
  7  0.0
  4  115
  5  0.5
  7  0.5
  0  0.5
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 100  0.3
PSR %CPU
  5  0.6
  6  0.0
  7  0.0
  4 96.6
  5  0.3
  7  0.3
  0  0.3
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 103  0.3
PSR %CPU
  5  0.5
  6  0.0
  7  0.0
  4 99.7
  5  0.2
  7  0.2
  0  0.2
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 104  0.3
PSR %CPU
  5  0.5
  6  0.0
  7  0.0
  4  101
  5  0.2
  7  0.2
  0  0.2
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 106  0.3
PSR %CPU
  5  0.4
  6  0.0
  7  0.0
  4  103
  5  0.2
  7  0.2
  0  0.2
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 107  0.3
PSR %CPU
  5  0.4
  6  0.0
  7  0.0
  4  105
  5  0.2
  7  0.2
  0  0.2
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 108  0.3
PSR %CPU
  5  0.3
  6  0.0
  7  0.0
  4  106
  5  0.1
  7  0.1
  0  0.1
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 100  0.3
PSR %CPU
  5  0.3
  6  0.0
  7  0.0
  4 98.8
  5  0.1
  7  0.1
  0  0.1
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 101  0.3
PSR %CPU
  5  0.2
  6  0.0
  7  0.0
  4  100
  5  0.1
  7  0.1
  0  0.1
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 102  0.3
PSR %CPU
  5  0.2
  6  0.0
  7  0.0
  4  101
  5  0.1
  7  0.1
  0  0.1
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 103  0.3
PSR %CPU
  5  0.2
  6  0.0
  7  0.0
  4  102
  5  0.1
  7  0.1
  0  0.1
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 104  0.3
PSR %CPU
  5  0.2
  6  0.0
  7  0.0
  4  103
  5  0.1
  7  0.1
  0  0.1
  1  0.0
  4  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 101  0.3
PSR %CPU
  3  0.3
  0  0.0
  0  0.0
  7 97.2
  1  0.3
  7  0.3
  6  0.3
  2  0.0
  0  0.0
  5  0.0
  4  0.0
%CPU     %MEM    
 102  0.3
PSR %CPU
  3  0.3
  0  0.0
  0  0.0
  7 98.2
  1  0.3
  7  0.3
  6  0.3
  2  0.0
  0  0.0
  5  0.0
  4  0.0
%CPU     %MEM    
 103  0.3
PSR %CPU
  3  0.2
  0  0.0
  0  0.0
  7 99.1
  1  0.2
  7  0.2
  6  0.2
  2  0.0
  0  0.0
  5  0.0
  4  0.0
%CPU     %MEM    
 104  0.3
PSR %CPU
  7  0.3
  1  0.0
  1  0.0
  0 98.8
  6  0.4
  3  0.4
  0  0.4
  2  0.0
  4  0.0
  1  0.0
  5  0.0
%CPU     %MEM    
 105  0.3
PSR %CPU
  7  0.3
  1  0.0
  1  0.0
  0 99.6
  6  0.3
  3  0.3
  0  0.3
  2  0.0
  4  0.0
  1  0.0
  5  0.0
%CPU     %MEM    
 107  0.3
PSR %CPU
  1  0.5
  4  0.0
  2  0.0
  5 98.3
  4  0.6
  3  0.6
  5  0.6
  6  0.0
  0  0.0
  7  0.0
  2  0.0
%CPU     %MEM    
 103  0.3
PSR %CPU
  1  0.5
  4  0.0
  4  0.0
  5 95.2
  4  0.5
  3  0.5
  5  0.5
  6  0.0
  0  0.0
  7  0.0
  2  0.0
%CPU     %MEM    
 104  0.3
PSR %CPU
  6  0.6
  5  0.0
  4  0.0
  6 95.0
  3  0.6
  1  0.6
  4  0.6
  7  0.0
  2  0.0
  0  0.0
  5  0.0
%CPU     %MEM    
 105  0.3
PSR %CPU
  1  0.6
  6  0.0
  5  0.0
  6 95.2
  6  0.7
  6  0.7
  0  0.7
  4  0.0
  5  0.0
  2  0.0
  7  0.0
  0  0.0
  6  0.0
  7  0.0
  1  0.0
  7  0.0
  0  0.0
  5  0.0
%CPU     %MEM    
 106  0.3
PSR %CPU
  6  0.6
  7  0.0
  5  0.0
  6 95.8
  1  0.7
  0  0.7
  3  0.7
  5  0.0
  4  0.0
  2  0.0
  7  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  0  0.8
  7  0.0
  5  0.0
  0 95.0
  4  0.9
  3  0.9
  5  0.9
  6  0.0
  7  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  0  0.8
  7  0.0
  6  0.0
  0 95.6
  4  0.9
  3  0.9
  5  0.9
  6  0.0
  7  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 105  0.4
PSR %CPU
  6  0.8
  7  0.0
  7  0.0
  6 92.6
  4  0.9
  7  0.9
  5  0.9
  1  0.0
  3  0.0
  0  0.0
  2  0.0
%CPU     %MEM    
 105  0.4
PSR %CPU
  0  0.9
  1  0.0
  7  0.0
  0 92.6
  2  1.0
  4  1.0
  1  1.0
  3  0.0
  5  0.0
  6  0.0
  7  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  0  0.9
  1  0.0
  7  0.0
  0 93.3
  2  1.0
  4  1.0
  1  1.0
  3  0.0
  5  0.0
  6  0.0
  7  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  0  0.8
  1  0.0
  7  0.0
  0 94.0
  2  0.9
  4  0.9
  1  1.0
  3  0.0
  5  0.0
  6  0.0
  7  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  3  0.9
  1  0.0
  0  0.0
  7 93.9
  2  1.0
  6  1.0
  5  1.0
  7  0.0
  4  0.0
  1  0.0
  0  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  2  1.0
  1  0.0
  0  0.0
  6 91.4
  3  1.0
  1  1.1
  0  1.1
  7  0.0
  5  0.0
  4  0.0
  6  0.0
%CPU     %MEM    
 105  0.4
PSR %CPU
  5  1.0
  5  0.0
  1  0.0
  7 91.4
  0  1.1
  6  1.1
  3  1.1
  1  0.0
  7  0.0
  4  0.0
  2  0.0
%CPU     %MEM    
 105  0.4
PSR %CPU
  1  1.1
  2  0.0
  1  0.0
  7 91.4
  0  1.2
  7  1.2
  5  1.2
  1  0.0
  2  0.0
  4  0.0
  6  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  6  1.2
  2  0.0
  3  0.0
  7 91.5
  4  1.2
  7  1.2
  5  1.2
%CPU     %MEM    
 108  0.4
PSR %CPU
  0  1.5
  7  0.0
  3  0.0
  4 90.0
  5  1.5
  2  1.5
  7  1.5
  6  0.0
  4  0.0
  3  0.0
  2  0.0
  5  0.0
  7  0.0
  0  0.0
  4  0.0
  7  0.0
  5  0.0
  2  0.0
%CPU     %MEM    
 108  0.4
PSR %CPU
  1  1.5
  7  0.0
  3  0.0
  4 90.5
  4  1.5
  6  1.5
  3  1.5
  0  0.0
  2  0.0
  5  0.0
  7  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  1  1.5
  7  0.0
  3  0.0
  4 89.1
  4  1.5
  6  1.4
  3  1.5
  0  0.0
  2  0.0
  5  0.0
  7  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  1  1.4
  7  0.0
  3  0.0
  4 89.8
  4  1.4
  6  1.4
  3  1.4
  0  0.0
  2  0.0
  5  0.0
  7  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  1  1.7
  2  0.0
  3  0.0
  5 88.8
  2  1.6
  0  1.6
  4  1.6
  6  0.0
  3  0.0
  7  0.0
  5  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  1  1.6
  3  0.0
  3  0.0
  5 89.4
  2  1.6
  0  1.6
  4  1.6
  6  0.0
  3  0.0
  7  0.0
  5  0.0
%CPU     %MEM    
 108  0.4
PSR %CPU
  1  1.6
  3  0.0
  3  0.0
  5 90.0
  2  1.6
  0  1.6
  4  1.6
  6  0.0
  3  0.0
  7  0.0
  5  0.0
%CPU     %MEM    
 108  0.4
PSR %CPU
  1  1.6
  3  0.0
  3  0.0
  5 90.5
  2  1.5
  0  1.5
  4  1.5
  6  0.0
  3  0.0
  7  0.0
  5  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  1  1.5
  3  0.0
  3  0.0
  5 89.3
  2  1.5
  0  1.5
  4  1.5
  6  0.0
  3  0.0
  7  0.0
  5  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  1  1.5
  3  0.0
  3  0.0
  5 89.8
  2  1.4
  0  1.4
  4  1.4
  6  0.0
  3  0.0
  7  0.0
  5  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  3  1.5
  4  0.0
  4  0.0
  5 90.0
  0  1.4
  5  1.4
  2  1.4
  4  0.0
  6  0.0
  7  0.0
  6  0.0
  5  0.0
  6  0.0
  7  0.0
  0  0.0
  6  0.0
  2  0.0
  2  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  1  1.6
  4  0.0
  4  0.0
  5 89.9
  5  1.5
  4  1.5
  3  1.5
  0  0.0
  2  0.0
  7  0.0
  6  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  2  1.7
  4  0.0
  4  0.0
  5 89.9
  3  1.6
  0  1.5
  1  1.6
  7  0.0
  4  0.0
  5  0.0
  6  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  2  1.7
  4  0.0
  4  0.0
  5 90.3
  3  1.5
  0  1.5
  1  1.5
  7  0.0
  4  0.0
  5  0.0
  6  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  7  1.7
  6  0.0
  6  0.0
  5 88.9
  1  1.5
  4  1.5
  0  1.6
  5  0.0
  2  0.0
  3  0.0
  6  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  7  1.7
  6  0.0
  6  0.0
  5 89.2
  1  1.5
  4  1.5
  3  1.5
%CPU     %MEM    
 107  0.4
PSR %CPU
  1  1.7
  6  0.0
  6  0.0
  5 89.3
  3  1.5
  0  1.5
  5  1.5
  4  0.0
  2  0.0
  7  0.0
  6  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  1  1.7
  6  0.0
  6  0.0
  5 89.7
  3  1.5
  0  1.5
  5  1.5
  4  0.0
  2  0.0
  7  0.0
  6  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  2  1.7
  6  0.0
  6  0.0
  5 89.8
  6  1.5
  0  1.6
  3  1.6
  4  0.0
  5  0.0
  1  0.0
  7  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  3  1.8
  7  0.0
  6  0.0
  5 88.5
  5  1.6
  0  1.6
  1  1.6
  7  0.0
  4  0.0
  6  0.0
  2  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  3  1.8
  7  0.0
  6  0.0
  5 88.9
  5  1.5
  0  1.5
  1  1.5
  7  0.0
  4  0.0
  6  0.0
  2  0.0
%CPU     %MEM    
 106  0.4
PSR %CPU
  1  1.8
  7  0.0
  6  0.0
  5 89.0
  5  1.6
  4  1.6
  2  1.6
  3  0.0
  0  0.0
  6  0.0
  7  0.0
%CPU     %MEM    
 107  0.4
PSR %CPU
  6  1.9
  1  0.0
  6  0.0
  5 89.0
  3  1.6
  4  1.6
  2  1.6
